100_Independent0000,5343
100_Independent0001,4717
100_Independent0002,5196
100_Independent0003,4875
100_Independent0004,4801
100_Independent0005,5468
100_Independent0006,4894
100_Independent0007,4749
100_Independent0008,5352
100_Independent0009,4995
100_Independent0010,4375
100_Independent0011,3979
100_Independent0012,3806
100_Independent0013,3730
100_Independent0014,4073
100_Independent0015,3715
100_Independent0016,3961
100_Independent0017,3519
100_Independent0018,4151
100_Independent0019,3755
100_Independent0020,2949
100_Independent0021,2566
100_Independent0022,2455
100_Independent0023,2769
100_Independent0024,2529
100_Independent0025,2584
100_Independent0026,2368
100_Independent0027,2551
100_Independent0028,2525
100_Independent0029,2537
100_Independent0030,1347
100_Independent0031,1388
100_Independent0032,1552
100_Independent0033,1242
100_Independent0034,1414
100_Independent0035,1383
100_Independent0036,1419
100_Independent0037,1221
100_Independent0038,1303
100_Independent0039,1486
100_Independent0040,154
100_Independent0041,480
100_Independent0042,230
100_Independent0043,483
100_Independent0044,185
100_Independent0045,392
100_Independent0046,146
100_Independent0047,61
100_Independent0048,190
100_Independent0049,343
100_Independent0050,28
100_Independent0051,38
100_Independent0052,-87
100_Independent0053,84
100_Independent0054,73
100_Independent0055,10
100_Independent0056,26
100_Independent0057,130
100_Independent0058,76
100_Independent0059,33
100_Independent0060,-100
100_Independent0061,38
100_Independent0062,7
100_Independent0063,-48
100_Independent0064,-183
100_Independent0065,84
100_Independent0066,224
100_Independent0067,73
100_Independent0068,-6
100_Independent0069,34
100_Independent0070,3777
100_Independent0071,3779
100_Independent0072,3838
100_Independent0073,3778
100_Independent0074,3458
100_Independent0075,3888
100_Independent0076,3837
100_Independent0077,3812
100_Independent0078,4021
100_Independent0079,3687
100_Independent0080,2631
100_Independent0081,2565
100_Independent0082,2667
100_Independent0083,2410
100_Independent0084,2697
100_Independent0085,2487
100_Independent0086,2799
100_Independent0087,2571
100_Independent0088,2618
100_Independent0089,2458
100_Independent0090,1248
100_Independent0091,1150
100_Independent0092,1240
100_Independent0093,1358
100_Independent0094,1348
100_Independent0095,1316
100_Independent0096,1313
100_Independent0097,1384
100_Independent0098,1309
100_Independent0099,1242
100_Independent0100,34
100_Independent0101,57
100_Independent0102,104
100_Independent0103,122
100_Independent0104,108
100_Independent0105,43
100_Independent0106,110
100_Independent0107,32
100_Independent0108,57
100_Independent0109,86
100_Independent0110,-455
100_Independent0111,-657
100_Independent0112,-1014
100_Independent0113,-1185
100_Independent0114,-738
100_Independent0115,-826
100_Independent0116,-1033
100_Independent0117,-794
100_Independent0118,-585
100_Independent0119,-1067
100_Independent0120,-1332
100_Independent0121,-1172
100_Independent0122,-1082
100_Independent0123,-1155
100_Independent0124,-1111
100_Independent0125,-1225
100_Independent0126,-763
100_Independent0127,-1389
100_Independent0128,-1204
100_Independent0129,-1255
100_Independent0130,2693
100_Independent0131,2724
100_Independent0132,2540
100_Independent0133,2229
100_Independent0134,2139
100_Independent0135,2570
100_Independent0136,2565
100_Independent0137,2713
100_Independent0138,2409
100_Independent0139,2589
100_Independent0140,1270
100_Independent0141,1262
100_Independent0142,1340
100_Independent0143,1358
100_Independent0144,1261
100_Independent0145,1231
100_Independent0146,1280
100_Independent0147,1370
100_Independent0148,1364
100_Independent0149,1173
100_Independent0150,139
100_Independent0151,9
100_Independent0152,97
100_Independent0153,4
100_Independent0154,4
100_Independent0155,26
100_Independent0156,17
100_Independent0157,7
100_Independent0158,21
100_Independent0159,14
100_Independent0160,-1064
100_Independent0161,-1308
100_Independent0162,-966
100_Independent0163,-1300
100_Independent0164,-1180
